,Age,Attrition,BusinessTravel,DistanceFromHome,EducationField,EnvironmentSatisfaction,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
240,39,0,Travel_Rarely,1,Medical,3,Laboratory Technician,Divorced,2232,7,No,14,3,7,3,2,1,2
241,32,0,Non-Travel,26,Marketing,3,Sales Executive,Married,4465,0,No,18,0,4,3,2,2,2
242,41,0,Travel_Rarely,19,Life Sciences,3,Research Scientist,Divorced,3072,2,No,16,2,17,1,0,0,0
243,40,0,Travel_Rarely,24,Technical Degree,1,Research Scientist,Divorced,3319,1,No,17,2,9,9,8,4,7
244,45,0,Travel_Rarely,1,Other,3,Manager,Married,19202,0,No,11,1,25,24,0,1,7
245,31,0,Travel_Frequently,3,Medical,2,Research Director,Divorced,13675,9,No,12,1,9,2,2,2,2
246,33,0,Travel_Rarely,5,Life Sciences,3,Research Scientist,Married,2911,1,No,13,1,2,2,2,0,2
247,34,0,Travel_Rarely,2,Life Sciences,4,Manufacturing Director,Married,5957,6,No,13,1,13,11,9,5,9
248,37,0,Travel_Rarely,1,Medical,3,Research Scientist,Married,3920,2,No,14,1,17,3,1,0,2
249,45,0,Travel_Frequently,7,Life Sciences,1,Manufacturing Director,Married,6434,4,No,17,1,9,3,2,0,2
250,37,1,Travel_Frequently,10,Medical,1,Manufacturing Director,Divorced,10048,6,No,11,2,17,1,0,0,0
251,39,0,Travel_Frequently,2,Technical Degree,3,Healthcare Representative,Single,10938,0,No,25,0,20,19,6,11,8
252,29,0,Travel_Rarely,15,Life Sciences,3,Research Scientist,Single,2340,1,No,19,0,6,6,5,1,5
253,42,0,Travel_Rarely,17,Life Sciences,4,Research Scientist,Single,6545,3,Yes,13,0,10,3,2,0,2
254,29,0,Travel_Rarely,20,Marketing,4,Sales Executive,Divorced,6931,2,No,14,1,10,3,2,0,2
255,25,0,Travel_Rarely,1,Life Sciences,1,Manufacturing Director,Married,4898,0,No,12,2,5,4,2,1,2
256,42,0,Travel_Rarely,2,Medical,4,Laboratory Technician,Divorced,2593,0,Yes,11,1,10,9,6,7,8
257,40,0,Travel_Rarely,2,Medical,1,Research Director,Divorced,19436,0,No,19,1,22,21,7,3,9
258,51,0,Travel_Rarely,1,Life Sciences,3,Research Scientist,Married,2723,1,No,11,0,1,1,0,0,0
259,31,1,Travel_Frequently,29,Medical,3,Laboratory Technician,Single,3479,0,No,11,0,6,5,4,1,4
260,32,0,Travel_Frequently,7,Life Sciences,2,Laboratory Technician,Married,2794,1,No,20,0,5,5,1,0,3
261,38,0,Non-Travel,2,Life Sciences,4,Sales Executive,Married,5249,3,No,18,1,13,8,7,7,5
262,32,0,Travel_Rarely,2,Technical Degree,4,Laboratory Technician,Single,2176,4,No,13,0,9,6,2,0,4
263,46,0,Travel_Rarely,2,Technical Degree,3,Manager,Married,16872,3,Yes,12,1,28,7,7,7,7
264,28,1,Travel_Rarely,2,Life Sciences,1,Laboratory Technician,Single,3485,2,No,11,0,5,0,0,0,0
265,29,0,Travel_Rarely,2,Medical,1,Sales Executive,Married,6644,2,No,19,2,10,0,0,0,0
266,31,0,Travel_Rarely,23,Medical,2,Healthcare Representative,Married,5582,0,No,21,1,10,9,0,7,8
267,25,0,Non-Travel,5,Life Sciences,2,Healthcare Representative,Divorced,4000,1,No,12,2,6,6,3,1,5
268,45,0,Travel_Rarely,20,Medical,3,Healthcare Representative,Married,13496,0,Yes,14,0,21,20,7,4,10
269,36,0,Travel_Rarely,6,Life Sciences,4,Laboratory Technician,Married,3210,0,No,11,1,16,15,13,10,11
270,55,0,Travel_Rarely,1,Medical,4,Manager,Single,19045,0,Yes,14,0,37,36,10,4,13
271,47,1,Non-Travel,29,Life Sciences,1,Manager,Married,11849,1,Yes,12,1,10,10,7,9,9
272,28,0,Travel_Rarely,9,Medical,4,Research Scientist,Married,2070,1,No,23,1,5,5,2,0,4
273,37,0,Travel_Rarely,6,Medical,3,Sales Executive,Married,6502,4,No,14,1,7,5,4,0,1
274,21,0,Travel_Rarely,3,Medical,4,Research Scientist,Single,3230,1,No,17,0,3,3,2,1,0
275,37,0,Non-Travel,1,Medical,1,Research Director,Divorced,13603,2,Yes,18,2,15,5,2,0,2
276,35,0,Travel_Rarely,22,Life Sciences,2,Manager,Divorced,11996,7,No,18,1,10,7,7,6,2
277,38,0,Travel_Rarely,7,Medical,1,Sales Executive,Divorced,5605,1,Yes,24,1,8,8,0,7,7
278,26,0,Travel_Frequently,1,Life Sciences,3,Manufacturing Director,Divorced,6397,1,No,20,1,6,6,5,1,4
279,50,0,Travel_Rarely,4,Life Sciences,1,Research Director,Divorced,19144,3,No,14,2,28,10,4,1,6
280,53,0,Travel_Rarely,3,Medical,3,Research Director,Married,17584,3,Yes,16,3,21,5,3,1,3
281,42,0,Travel_Rarely,1,Life Sciences,2,Sales Executive,Married,4907,1,No,25,0,20,20,16,11,6
282,29,0,Travel_Frequently,2,Life Sciences,2,Sales Executive,Single,4554,1,No,18,0,10,10,7,0,9
283,55,0,Travel_Rarely,20,Technical Degree,2,Laboratory Technician,Married,5415,3,Yes,19,1,12,10,7,0,8
284,26,0,Travel_Frequently,11,Medical,1,Healthcare Representative,Married,4741,1,Yes,13,1,5,5,3,3,3
285,37,0,Travel_Rarely,1,Life Sciences,4,Research Scientist,Single,2115,1,No,12,0,17,17,12,5,7
286,44,1,Travel_Frequently,24,Life Sciences,4,Laboratory Technician,Divorced,3161,3,Yes,22,1,19,1,0,0,0
287,38,0,Travel_Rarely,23,Life Sciences,4,Healthcare Representative,Divorced,5745,9,No,14,1,10,2,2,1,2
288,26,1,Travel_Rarely,16,Medical,1,Laboratory Technician,Divorced,2373,2,Yes,13,1,5,3,2,0,2
289,28,0,Travel_Rarely,8,Life Sciences,4,Research Scientist,Single,3310,1,No,21,0,5,5,3,0,2
290,49,0,Travel_Frequently,10,Life Sciences,3,Research Director,Single,18665,9,Yes,11,0,22,3,2,1,2
291,36,0,Travel_Rarely,3,Technical Degree,3,Research Scientist,Single,4485,4,No,12,0,10,8,0,7,7
292,31,0,Travel_Frequently,5,Marketing,4,Sales Representative,Divorced,2789,1,No,11,1,2,2,2,2,2
293,26,1,Travel_Rarely,4,Marketing,4,Sales Executive,Single,5828,1,Yes,12,0,8,8,7,7,4
294,37,0,Travel_Frequently,9,Medical,2,Research Scientist,Married,2326,1,Yes,12,3,4,4,2,1,2
295,42,0,Travel_Frequently,26,Marketing,3,Sales Executive,Married,13525,5,No,14,1,23,20,4,4,8
296,18,1,Travel_Rarely,3,Life Sciences,3,Laboratory Technician,Single,1420,1,No,13,0,0,0,0,0,0
297,35,0,Travel_Rarely,16,Marketing,3,Sales Executive,Married,8020,0,No,15,2,12,11,9,6,9
298,36,0,Travel_Frequently,18,Life Sciences,3,Laboratory Technician,Married,3688,4,No,18,2,4,1,0,0,0
299,51,0,Travel_Rarely,2,Medical,4,Manufacturing Director,Divorced,5482,5,No,18,1,13,4,1,1,2
300,41,0,Travel_Rarely,2,Life Sciences,4,Manager,Single,16015,1,No,19,0,22,22,10,0,4
301,18,0,Travel_Rarely,10,Medical,4,Sales Representative,Single,1200,1,No,12,0,0,0,0,0,0
302,28,0,Travel_Rarely,16,Medical,2,Healthcare Representative,Single,5661,0,No,19,0,9,8,3,0,7
303,31,0,Travel_Rarely,7,Technical Degree,2,Sales Executive,Married,6929,4,No,11,1,10,8,7,7,7
304,39,0,Travel_Rarely,1,Medical,3,Healthcare Representative,Divorced,9613,0,No,17,3,19,18,10,3,7
305,36,0,Non-Travel,24,Life Sciences,2,Laboratory Technician,Married,5674,7,No,15,1,11,9,8,0,8
306,32,0,Travel_Rarely,7,Life Sciences,4,Sales Executive,Married,5484,1,No,14,1,13,13,8,4,8
307,38,0,Travel_Rarely,25,Life Sciences,1,Research Director,Married,12061,3,No,17,1,19,10,8,0,1
308,58,0,Non-Travel,1,Life Sciences,4,Healthcare Representative,Divorced,5660,2,Yes,13,1,12,5,3,1,2
309,31,0,Travel_Rarely,5,Technical Degree,3,Research Scientist,Married,4821,0,Yes,12,1,6,5,2,0,3
310,31,0,Travel_Rarely,2,Human Resources,1,Human Resources,Married,6410,3,No,12,0,9,2,2,1,0
311,45,0,Travel_Frequently,7,Life Sciences,1,Laboratory Technician,Divorced,5210,1,No,18,1,24,24,9,9,11
312,31,0,Travel_Rarely,2,Life Sciences,3,Research Scientist,Divorced,2695,0,Yes,18,1,3,2,2,2,2
313,33,0,Travel_Frequently,5,Life Sciences,4,Manager,Married,11878,6,No,11,2,12,10,6,8,8
314,39,0,Travel_Rarely,10,Medical,3,Manager,Married,17068,1,Yes,14,0,21,21,9,11,10
315,43,0,Travel_Frequently,10,Life Sciences,3,Laboratory Technician,Single,2455,0,No,19,0,9,8,7,1,7
316,49,0,Travel_Rarely,1,Technical Degree,3,Healthcare Representative,Single,13964,7,Yes,12,0,25,7,1,0,7
317,52,1,Travel_Rarely,8,Medical,3,Research Scientist,Married,4941,2,No,15,0,11,8,2,7,7
318,27,0,Travel_Rarely,5,Life Sciences,3,Research Scientist,Single,2478,1,Yes,12,0,4,4,3,1,2
319,32,0,Travel_Rarely,8,Technical Degree,3,Sales Executive,Married,5228,1,Yes,11,0,13,13,12,11,9
320,27,0,Travel_Rarely,2,Life Sciences,4,Sales Executive,Single,4478,1,Yes,11,0,5,5,4,0,4
321,31,0,Travel_Rarely,7,Marketing,4,Sales Executive,Divorced,7547,4,No,12,3,13,7,7,1,7
322,32,0,Travel_Rarely,2,Medical,1,Research Scientist,Single,5055,7,No,16,0,10,7,7,0,7
323,28,1,Travel_Rarely,2,Medical,1,Research Scientist,Married,3464,5,Yes,13,0,5,3,2,2,2
324,30,0,Travel_Rarely,28,Medical,4,Research Scientist,Married,5775,1,No,13,2,11,10,8,1,9
325,31,0,Travel_Frequently,7,Life Sciences,3,Manufacturing Director,Married,8943,1,No,24,1,10,10,9,8,9
326,39,0,Travel_Frequently,7,Medical,3,Manager,Married,19272,1,No,15,1,21,21,9,13,3
327,39,1,Travel_Rarely,3,Medical,4,Sales Executive,Married,5238,4,Yes,18,0,12,1,0,0,0
328,33,0,Travel_Frequently,10,Marketing,2,Sales Executive,Single,4682,3,No,14,0,9,7,7,0,1
329,47,0,Travel_Rarely,5,Life Sciences,4,Research Director,Married,18300,4,No,11,1,21,3,2,1,1
330,43,0,Travel_Frequently,10,Life Sciences,3,Laboratory Technician,Divorced,5257,1,No,11,1,9,9,7,0,0
331,27,0,Non-Travel,1,Marketing,3,Sales Executive,Married,6349,0,Yes,13,1,6,5,4,1,4
332,54,0,Travel_Frequently,20,Life Sciences,4,Research Scientist,Single,4869,3,No,12,0,20,4,3,0,3
333,43,0,Travel_Rarely,7,Life Sciences,3,Healthcare Representative,Married,9985,8,No,16,1,10,1,0,0,0
334,45,0,Travel_Rarely,8,Other,4,Research Scientist,Married,3697,9,No,14,2,12,10,9,9,8
335,40,0,Travel_Rarely,1,Medical,2,Sales Executive,Married,7457,2,Yes,22,3,6,4,3,0,2
336,29,1,Travel_Rarely,8,Other,2,Laboratory Technician,Married,2119,1,Yes,11,0,7,7,7,0,7
337,29,0,Travel_Rarely,9,Other,2,Laboratory Technician,Single,3983,0,No,17,0,4,3,2,2,2
338,30,0,Travel_Rarely,5,Marketing,4,Sales Executive,Divorced,6118,1,No,13,3,10,10,9,1,2
339,27,0,Travel_Rarely,8,Marketing,2,Sales Executive,Married,6214,1,No,18,1,8,8,7,0,7
340,37,0,Travel_Rarely,5,Medical,4,Manufacturing Director,Divorced,6347,7,No,16,2,8,6,2,0,4
341,38,0,Travel_Rarely,15,Life Sciences,3,Research Director,Divorced,11510,0,Yes,14,1,12,11,10,2,9
342,31,0,Travel_Rarely,7,Medical,3,Manufacturing Director,Single,7143,1,Yes,14,0,11,11,9,4,10
343,29,0,Travel_Rarely,10,Marketing,4,Sales Executive,Divorced,8268,1,Yes,14,2,7,7,7,1,7
344,35,0,Travel_Rarely,5,Technical Degree,3,Manufacturing Director,Single,8095,0,No,13,0,17,16,6,0,13
345,23,0,Travel_Rarely,26,Life Sciences,3,Research Scientist,Divorced,2904,1,No,12,2,4,4,2,0,2
346,41,0,Travel_Rarely,6,Medical,4,Manufacturing Director,Single,6032,6,Yes,15,0,8,5,4,1,2
347,47,0,Travel_Frequently,4,Medical,2,Sales Representative,Single,2976,3,No,19,0,5,0,0,0,0
348,42,0,Travel_Rarely,23,Life Sciences,1,Research Director,Single,15992,2,No,14,0,16,1,0,0,0
349,29,0,Non-Travel,2,Life Sciences,4,Sales Executive,Married,4649,1,No,14,1,4,4,3,0,2
350,42,0,Travel_Rarely,2,Technical Degree,3,Human Resources,Divorced,2696,0,Yes,11,1,4,3,2,1,0
351,32,0,Travel_Rarely,2,Medical,3,Laboratory Technician,Married,2370,1,No,13,1,8,8,0,0,7
352,48,0,Travel_Rarely,29,Medical,1,Manager,Married,12504,3,No,21,1,15,0,0,0,0
353,37,0,Travel_Rarely,6,Medical,3,Research Scientist,Divorced,5974,4,Yes,13,2,13,7,7,6,7
354,30,0,Non-Travel,25,Technical Degree,4,Sales Executive,Married,4736,7,Yes,12,1,4,2,2,2,2
355,26,0,Travel_Rarely,1,Life Sciences,3,Sales Executive,Married,5296,1,No,17,1,8,8,7,7,7
356,42,0,Travel_Rarely,2,Other,1,Healthcare Representative,Single,6781,3,No,23,0,14,1,0,0,0
357,21,1,Travel_Frequently,1,Technical Degree,1,Sales Representative,Single,2174,1,Yes,11,0,3,3,2,1,2
358,36,0,Non-Travel,1,Medical,4,Sales Executive,Single,6653,4,No,15,0,7,1,0,0,0
359,36,0,Travel_Frequently,3,Medical,1,Sales Executive,Married,9699,4,No,11,1,16,13,9,1,12
360,57,0,Travel_Rarely,1,Medical,4,Healthcare Representative,Married,6755,2,No,11,0,15,3,2,1,2
361,40,0,Travel_Rarely,10,Life Sciences,4,Laboratory Technician,Married,2213,3,Yes,13,1,10,7,7,1,7
362,21,0,Non-Travel,9,Medical,1,Sales Representative,Single,2610,1,No,24,0,3,3,2,2,2
363,33,1,Travel_Rarely,5,Marketing,4,Sales Representative,Single,2851,1,Yes,13,0,1,1,0,0,0
364,37,0,Travel_Rarely,10,Medical,3,Laboratory Technician,Married,3452,6,No,20,1,17,5,4,0,3
365,46,0,Non-Travel,7,Medical,3,Manufacturing Director,Married,5258,2,No,14,0,7,1,0,0,0
366,41,1,Travel_Frequently,4,Marketing,1,Sales Executive,Single,9355,1,No,18,0,8,8,7,7,7
367,50,0,Travel_Rarely,10,Technical Degree,4,Healthcare Representative,Single,10496,6,No,15,0,20,4,3,1,3
368,40,1,Travel_Rarely,22,Marketing,3,Sales Executive,Married,6380,2,Yes,12,2,8,6,4,1,0
369,31,0,Travel_Rarely,9,Life Sciences,3,Research Scientist,Single,2657,0,Yes,16,0,3,2,2,2,2
370,21,1,Travel_Rarely,12,Life Sciences,3,Sales Representative,Single,2716,1,No,15,0,1,1,0,0,0
371,29,0,Travel_Rarely,23,Life Sciences,4,Research Scientist,Single,2201,9,No,16,0,6,3,2,1,2
372,35,0,Travel_Rarely,9,Life Sciences,3,Healthcare Representative,Single,6540,9,No,19,0,10,1,1,0,0
373,27,0,Travel_Rarely,1,Medical,4,Laboratory Technician,Divorced,3816,1,No,11,1,5,5,2,0,4
374,28,0,Travel_Rarely,9,Life Sciences,2,Sales Executive,Single,5253,1,No,16,0,7,7,5,0,7
375,49,0,Travel_Rarely,7,Other,2,Healthcare Representative,Single,10965,8,No,24,0,26,5,2,0,0
376,51,0,Travel_Rarely,14,Life Sciences,3,Sales Executive,Married,4936,4,No,11,1,18,7,7,0,7
377,36,0,Travel_Rarely,2,Life Sciences,4,Research Scientist,Married,2543,4,No,13,1,6,2,2,2,2
378,34,1,Non-Travel,19,Marketing,1,Sales Executive,Single,5304,8,Yes,13,0,9,5,2,0,4
379,55,0,Travel_Rarely,2,Life Sciences,3,Manager,Single,16659,2,Yes,13,0,30,5,4,1,2
380,24,0,Travel_Rarely,10,Marketing,4,Sales Executive,Divorced,4260,1,Yes,12,1,5,5,2,0,3
381,30,0,Travel_Rarely,2,Technical Degree,3,Sales Representative,Married,2476,1,No,18,1,1,1,0,0,0
382,26,1,Travel_Frequently,3,Technical Degree,3,Research Scientist,Single,3102,0,No,22,0,7,6,4,0,4
383,22,0,Travel_Rarely,11,Medical,1,Research Scientist,Married,2244,1,No,13,1,2,2,1,1,2
384,36,0,Travel_Rarely,2,Medical,2,Sales Executive,Married,7596,1,No,13,2,10,10,9,9,0
385,30,1,Travel_Frequently,4,Technical Degree,3,Research Scientist,Single,2285,9,Yes,23,0,3,1,0,0,0
386,37,0,Travel_Rarely,14,Life Sciences,4,Laboratory Technician,Divorced,3034,1,No,12,1,18,18,7,12,17
387,40,0,Travel_Rarely,2,Marketing,4,Sales Executive,Divorced,5715,7,No,12,2,8,5,4,1,3
388,42,0,Travel_Rarely,1,Life Sciences,2,Laboratory Technician,Divorced,2576,3,No,16,1,8,5,2,1,2
389,37,0,Travel_Rarely,10,Life Sciences,3,Manufacturing Director,Single,4197,2,Yes,12,0,18,1,0,0,1
390,43,0,Travel_Rarely,12,Life Sciences,1,Research Director,Divorced,14336,1,No,11,1,25,25,10,3,9
391,40,0,Travel_Rarely,2,Medical,2,Laboratory Technician,Married,3448,6,No,22,1,20,1,0,0,0
392,54,0,Travel_Rarely,5,Medical,1,Research Director,Married,19406,4,No,11,1,24,4,2,1,2
393,34,0,Non-Travel,4,Marketing,3,Sales Executive,Married,6538,9,No,15,1,6,3,2,1,2
394,31,0,Travel_Rarely,7,Medical,2,Manufacturing Director,Married,4306,1,No,12,1,13,13,10,3,12
395,43,0,Travel_Frequently,21,Medical,4,Laboratory Technician,Married,2258,7,No,20,1,8,3,2,1,2
396,43,0,Travel_Rarely,8,Other,3,Healthcare Representative,Divorced,4522,4,Yes,14,0,8,5,2,0,2
397,25,0,Travel_Rarely,4,Life Sciences,2,Sales Executive,Single,4487,1,Yes,11,0,5,5,4,1,3
398,37,0,Non-Travel,25,Medical,2,Research Scientist,Married,4449,3,Yes,15,2,15,13,11,10,7
399,31,0,Travel_Rarely,1,Life Sciences,4,Laboratory Technician,Married,2218,1,No,12,1,4,4,2,3,2
400,39,0,Travel_Frequently,1,Life Sciences,2,Manager,Divorced,19197,1,Yes,14,1,21,21,8,1,6
401,56,0,Travel_Frequently,6,Life Sciences,3,Sales Executive,Married,13212,9,No,11,3,36,7,7,7,7
402,30,0,Travel_Rarely,12,Technical Degree,2,Sales Executive,Single,6577,0,No,11,0,6,5,4,4,4
403,41,0,Travel_Rarely,1,Marketing,2,Sales Executive,Married,8392,1,No,16,1,10,10,7,0,7
404,28,0,Travel_Rarely,17,Medical,3,Laboratory Technician,Divorced,4558,1,No,12,1,10,10,0,1,8
405,25,1,Travel_Rarely,3,Medical,1,Laboratory Technician,Married,4031,5,No,13,1,6,2,2,0,2
406,52,0,Travel_Rarely,3,Medical,4,Manufacturing Director,Married,7969,2,Yes,14,0,28,5,4,0,4
407,45,0,Travel_Rarely,10,Life Sciences,1,Research Scientist,Married,2654,3,No,21,2,8,2,2,0,2
408,52,0,Travel_Rarely,4,Life Sciences,4,Manager,Married,16555,2,No,13,0,31,5,2,1,4
409,42,0,Travel_Frequently,29,Life Sciences,1,Research Scientist,Divorced,4556,2,No,11,1,19,5,4,0,2
410,30,0,Travel_Rarely,2,Life Sciences,3,Manufacturing Director,Single,6091,2,No,20,0,11,5,4,0,2
411,60,0,Travel_Rarely,7,Life Sciences,1,Manager,Married,19566,5,No,11,0,33,29,8,11,10
412,46,0,Travel_Rarely,18,Medical,3,Manufacturing Director,Divorced,4810,2,No,14,1,19,10,7,0,8
413,42,0,Travel_Frequently,28,Technical Degree,4,Healthcare Representative,Married,4523,0,No,11,3,7,6,5,0,4
414,24,1,Travel_Rarely,1,Technical Degree,1,Sales Representative,Single,3202,1,Yes,16,0,6,5,3,1,4
415,34,1,Travel_Frequently,6,Marketing,4,Sales Representative,Divorced,2351,0,No,16,1,3,2,2,1,0
416,38,0,Travel_Frequently,2,Life Sciences,4,Laboratory Technician,Married,1702,1,Yes,23,1,1,1,0,0,0
417,40,0,Travel_Rarely,2,Life Sciences,3,Manager,Married,18041,0,No,14,0,21,20,15,1,12
418,26,0,Travel_Rarely,23,Life Sciences,1,Research Scientist,Divorced,2886,1,No,22,2,3,3,2,0,2
419,30,0,Non-Travel,3,Life Sciences,3,Laboratory Technician,Married,2097,4,No,15,1,9,5,3,1,4
420,29,0,Travel_Rarely,3,Medical,2,Research Director,Married,11935,1,No,18,0,10,10,2,0,7
421,29,1,Travel_Rarely,25,Technical Degree,3,Research Scientist,Married,2546,5,No,16,0,6,2,2,1,1
422,19,1,Travel_Rarely,2,Technical Degree,1,Human Resources,Single,2564,1,No,12,0,1,1,0,0,0
423,30,0,Non-Travel,22,Other,3,Sales Executive,Married,8412,0,No,11,0,10,9,8,7,8
424,57,0,Travel_Rarely,29,Marketing,1,Manager,Divorced,14118,3,No,12,1,32,1,0,0,0
425,50,0,Travel_Rarely,29,Life Sciences,2,Manager,Married,17046,0,No,15,1,28,27,10,15,7
426,30,0,Non-Travel,2,Medical,3,Laboratory Technician,Single,2564,0,No,14,0,12,11,7,6,7
427,60,0,Travel_Frequently,28,Marketing,3,Sales Executive,Married,10266,4,No,19,0,22,18,13,13,11
428,47,0,Travel_Rarely,2,Medical,1,Manufacturing Director,Divorced,5070,5,No,13,3,20,5,0,0,4
429,46,0,Travel_Rarely,2,Life Sciences,1,Research Director,Married,17861,6,No,13,0,26,3,2,0,1
430,35,0,Travel_Rarely,22,Life Sciences,4,Laboratory Technician,Single,4230,0,No,15,0,6,5,4,4,3
431,54,0,Travel_Rarely,8,Life Sciences,3,Laboratory Technician,Single,3780,7,No,11,0,19,1,0,0,0
432,34,0,Travel_Rarely,2,Life Sciences,4,Research Scientist,Divorced,2768,3,No,12,1,14,7,3,5,7
433,46,0,Travel_Rarely,10,Marketing,3,Sales Executive,Married,9071,2,Yes,19,1,15,3,2,1,2
434,31,0,Travel_Rarely,9,Life Sciences,3,Manufacturing Director,Divorced,10648,1,No,25,1,13,13,8,0,8
435,33,1,Travel_Rarely,15,Medical,2,Manager,Married,13610,7,Yes,12,0,15,7,6,7,7
436,33,1,Travel_Rarely,10,Medical,1,Laboratory Technician,Divorced,3408,7,No,13,3,8,4,3,1,3
437,30,0,Travel_Rarely,7,Marketing,4,Sales Representative,Single,2983,0,No,14,0,4,3,2,1,2
438,35,0,Travel_Rarely,16,Life Sciences,4,Healthcare Representative,Married,7632,4,Yes,12,0,10,8,7,0,0
439,31,1,Travel_Frequently,20,Life Sciences,1,Healthcare Representative,Married,9824,3,No,12,0,12,1,0,0,0
440,34,1,Travel_Frequently,23,Human Resources,2,Human Resources,Divorced,9950,9,Yes,15,3,11,3,2,0,2
441,42,0,Travel_Frequently,5,Other,2,Laboratory Technician,Married,2093,4,No,17,1,8,2,2,2,0
442,36,0,Non-Travel,10,Medical,2,Sales Executive,Single,9980,1,No,14,0,10,10,3,9,7
443,22,1,Travel_Frequently,4,Technical Degree,3,Laboratory Technician,Single,3894,5,No,16,0,4,2,2,1,2
444,48,0,Travel_Rarely,2,Marketing,2,Sales Executive,Married,4051,2,No,14,1,14,9,7,6,7
445,55,0,Travel_Rarely,18,Life Sciences,1,Manager,Single,16835,3,No,23,0,37,10,9,7,7
446,41,0,Non-Travel,10,Life Sciences,4,Sales Executive,Single,6230,7,No,14,0,16,14,3,1,10
447,35,0,Travel_Rarely,1,Marketing,2,Sales Executive,Married,4717,9,No,11,0,15,11,9,6,9
448,40,0,Travel_Rarely,6,Life Sciences,2,Manufacturing Director,Single,13237,7,No,15,0,22,20,6,5,13
449,39,0,Travel_Frequently,8,Life Sciences,3,Laboratory Technician,Married,3755,1,No,11,1,8,8,3,0,7
450,31,0,Travel_Rarely,2,Life Sciences,2,Sales Executive,Single,6582,4,Yes,13,0,10,6,5,0,5
451,42,0,Travel_Rarely,24,Medical,4,Manufacturing Director,Married,7406,1,Yes,21,1,10,10,9,5,8
452,45,0,Travel_Rarely,2,Other,4,Sales Executive,Married,4805,0,No,19,1,9,8,7,3,7
453,26,1,Travel_Frequently,17,Life Sciences,2,Human Resources,Divorced,2741,0,Yes,11,1,8,7,7,1,0
454,29,0,Travel_Rarely,19,Technical Degree,4,Manufacturing Director,Divorced,4262,4,No,12,2,8,3,2,1,2
455,33,0,Travel_Rarely,1,Medical,1,Research Director,Divorced,16184,4,No,19,1,10,6,1,0,5
456,31,0,Travel_Rarely,7,Life Sciences,3,Manager,Divorced,11557,9,No,21,1,10,5,4,0,1
457,18,1,Travel_Frequently,5,Marketing,2,Sales Representative,Single,1878,1,Yes,14,0,0,0,0,0,0
458,40,0,Non-Travel,28,Other,3,Sales Executive,Divorced,10932,3,No,15,1,20,1,0,0,1
459,41,0,Non-Travel,2,Other,1,Healthcare Representative,Single,6811,2,Yes,17,0,10,8,7,0,7
460,26,0,Travel_Rarely,29,Medical,1,Sales Executive,Divorced,4306,5,No,12,2,8,0,0,0,0
461,35,0,Travel_Rarely,1,Medical,1,Sales Executive,Single,4859,1,No,16,0,5,5,4,0,3
462,34,0,Travel_Rarely,21,Life Sciences,4,Sales Executive,Single,5337,1,No,12,0,10,10,7,5,7
463,26,1,Travel_Rarely,24,Technical Degree,3,Laboratory Technician,Single,2340,1,Yes,18,0,1,1,0,0,0
464,37,0,Travel_Rarely,1,Technical Degree,2,Manufacturing Director,Single,7491,4,No,17,0,12,6,5,1,2
465,46,0,Travel_Frequently,18,Medical,1,Healthcare Representative,Married,10527,5,No,11,0,28,2,2,1,2
466,41,0,Travel_Rarely,2,Life Sciences,2,Manager,Married,16595,7,No,16,1,22,18,16,11,8
467,37,0,Non-Travel,9,Medical,1,Sales Executive,Divorced,8834,1,No,13,1,9,9,5,7,7
468,52,0,Travel_Rarely,6,Technical Degree,4,Research Scientist,Divorced,5577,3,Yes,12,2,18,10,9,6,9
469,32,1,Non-Travel,11,Other,4,Sales Executive,Married,4707,8,No,12,0,6,4,2,1,2
470,24,0,Travel_Frequently,24,Medical,4,Sales Representative,Married,2400,0,No,13,2,3,2,2,2,1
471,38,0,Travel_Rarely,10,Medical,3,Healthcare Representative,Married,9824,3,No,19,1,18,1,0,0,0
472,37,0,Travel_Rarely,1,Life Sciences,2,Manufacturing Director,Married,6447,6,No,12,1,8,6,5,4,3
473,49,0,Travel_Rarely,18,Life Sciences,4,Research Director,Divorced,19502,1,Yes,17,1,31,31,9,0,9
474,24,0,Travel_Rarely,23,Medical,2,Research Scientist,Married,2725,1,Yes,11,2,6,6,5,1,4
475,26,0,Travel_Rarely,28,Marketing,1,Sales Executive,Married,6272,1,No,20,2,6,5,3,1,4
476,24,0,Travel_Rarely,17,Other,4,Laboratory Technician,Married,2127,1,No,21,1,1,1,0,0,0
477,50,0,Travel_Frequently,3,Medical,1,Manager,Married,18200,1,No,11,1,32,32,5,10,7
478,25,0,Travel_Rarely,13,Medical,2,Sales Representative,Married,2096,1,No,11,0,7,7,4,0,6
479,24,1,Travel_Frequently,7,Life Sciences,1,Laboratory Technician,Married,2886,1,Yes,16,1,6,6,3,1,2
480,30,1,Travel_Frequently,12,Life Sciences,2,Sales Representative,Married,2033,1,No,18,1,1,1,0,0,0
481,34,0,Travel_Rarely,1,Life Sciences,2,Research Scientist,Married,3622,1,Yes,13,1,6,6,5,1,3
482,31,1,Travel_Rarely,13,Medical,2,Sales Executive,Divorced,4233,2,No,17,0,9,3,1,1,2
